Fund Holdings as of,"30/Aug/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"DD","DUPONT DE NEMOURS INC","Equity","0.06","73.91","386,404.00","28,559,119.64","28,559,119.64","Materials","US26614N1028","New York Stock Exchange Inc.","United States","USD"
"STLA","STELLANTIS NV","Equity","0.06","20.08","1,415,219.00","28,416,943.97","28,416,943.97","Consumer Discretionary","NL00150001Q9","Borsa Italiana","Italy","EUR"
"SRE","SEMPRA","Equity","0.06","131.81","214,964.00","28,334,404.84","28,334,404.84","Utilities","US8168511090","New York Stock Exchange Inc.","United States","USD"
"EOG","EOG RESOURCES INC","Equity","0.06","67.39","419,872.00","28,295,174.08","28,295,174.08","Energy","US26875P1012","New York Stock Exchange Inc.","United States","USD"
"9983","FAST RETAILING LTD","Equity","0.06","646.29","43,755.00","28,278,218.92","28,278,218.92","Consumer Discretionary","JP3802300008","Tokyo Stock Exchange","Japan","JPY"
"OTIS","OTIS WORLDWIDE CORP","Equity","0.06","92.37","306,103.00","28,274,734.11","28,274,734.11","Industrials","US68902V1070","New York Stock Exchange Inc.","United States","USD"
"EXPN","EXPERIAN PLC","Equity","0.06","44.04","640,298.00","28,197,288.05","28,197,288.05","Industrials","GB00B19NLV48","London Stock Exchange","United Kingdom","GBP"
"NDA SE","NORDEA BANK","Equity","0.06","11.92","2,363,933.00","28,172,665.23","28,172,665.23","Financials","FI4000297767","Nasdaq Omx Nordic","Sweden","SEK"
"DSY","DASSAULT SYSTEMES","Equity","0.06","57.51","489,520.00","28,151,475.74","28,151,475.74","Information Technology","FR0014003TT8","Nyse Euronext - Euronext Paris","France","EUR"
"MTD","METTLER TOLEDO INC","Equity","0.06","1,588.73","17,706.00","28,130,053.38","28,130,053.38","Health Care","US5926881054","New York Stock Exchange Inc.","United States","USD"
"8058","MITSUBISHI CORP","Equity","0.06","30.16","930,268.00","28,059,127.61","28,059,127.61","Industrials","JP3898400001","Tokyo Stock Exchange","Japan","JPY"
"NUE","NUCOR CORP","Equity","0.06","121.04","231,447.00","28,014,344.88","28,014,344.88","Materials","US6703461052","New York Stock Exchange Inc.","United States","USD"
"9434","SOFTBANK CORP","Equity","0.06","13.35","2,083,100.00","27,814,469.31","27,814,469.31","Communication","JP3732000009","Tokyo Stock Exchange","Japan","JPY"
"WOW","WOOLWORTHS GROUP LTD","Equity","0.06","30.25","916,800.00","27,728,601.33","27,728,601.33","Consumer Staples","AU000000WOW2","Asx - All Markets","Australia","AUD"
"SYY","SYSCO CORP","Equity","0.06","78.99","350,543.00","27,689,391.57","27,689,391.57","Consumer Staples","US8718291078","New York Stock Exchange Inc.","United States","USD"
"DSM","KONINKILIJKE DSM NV","Equity","0.06","214.92","128,797.00","27,680,894.75","27,680,894.75","Materials","NL0000009827","Euronext Amsterdam","Netherlands","EUR"
"PH","PARKER-HANNIFIN CORP","Equity","0.06","301.55","91,765.00","27,671,735.75","27,671,735.75","Industrials","US7010941042","New York Stock Exchange Inc.","United States","USD"
"AZO","AUTOZONE INC","Equity","0.06","1,555.71","17,786.00","27,669,858.06","27,669,858.06","Consumer Discretionary","US0533321024","New York Stock Exchange Inc.","United States","USD"
"BAX","BAXTER INTERNATIONAL INC","Equity","0.06","76.00","362,696.00","27,564,896.00","27,564,896.00","Health Care","US0718131099","New York Stock Exchange Inc.","United States","USD"
"6954","FANUC CORP","Equity","0.06","214.32","128,451.00","27,529,805.79","27,529,805.79","Industrials","JP3802400006","Tokyo Stock Exchange","Japan","JPY"
"MNST","MONSTER BEVERAGE CORP","Equity","0.06","97.81","280,449.00","27,430,716.69","27,430,716.69","Consumer Staples","US61174X1090","NASDAQ","United States","USD"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.06","135.10","202,965.00","27,420,571.50","27,420,571.50","Consumer Discretionary","US5719032022","NASDAQ","United States","USD"
"XLNX","XILINX INC","Equity","0.06","155.07","176,635.00","27,390,789.45","27,390,789.45","Information Technology","US9839191015","NASDAQ","United States","USD"
"AFL","AFLAC INC","Equity","0.06","56.43","485,315.00","27,386,325.45","27,386,325.45","Financials","US0010551028","New York Stock Exchange Inc.","United States","USD"
"SLB","SCHLUMBERGER NV","Equity","0.06","28.28","965,740.00","27,311,127.20","27,311,127.20","Energy","AN8068571086","New York Stock Exchange Inc.","United States","USD"
"CNC","CENTENE CORP","Equity","0.06","63.23","430,646.00","27,229,746.58","27,229,746.58","Health Care","US15135B1017","New York Stock Exchange Inc.","United States","USD"
"MFC","MANULIFE FINANCIAL CORP","Equity","0.06","19.57","1,389,343.00","27,183,157.72","27,183,157.72","Financials","CA56501R1064","Toronto Stock Exchange","Canada","CAD"
"KR","KROGER","Equity","0.06","46.20","588,000.00","27,165,600.00","27,165,600.00","Consumer Staples","US5010441013","New York Stock Exchange Inc.","United States","USD"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.06","211.79","127,562.00","27,016,355.98","27,016,355.98","Consumer Staples","US21036P1084","New York Stock Exchange Inc.","United States","USD"
"HPQ","HP INC","Equity","0.06","29.74","906,783.00","26,967,726.42","26,967,726.42","Information Technology","US40434L1052","New York Stock Exchange Inc.","United States","USD"
"CPG","COMPASS GROUP PLC","Equity","0.06","20.68","1,301,450.00","26,919,714.01","26,919,714.01","Consumer Discretionary","GB00BD6K4575","London Stock Exchange","United Kingdom","GBP"
"3382","SEVEN & I HOLDINGS LTD","Equity","0.06","43.17","622,312.00","26,867,480.46","26,867,480.46","Consumer Staples","JP3422950000","Tokyo Stock Exchange","Japan","JPY"
"WBA","WALGREEN BOOTS ALLIANCE INC","Equity","0.06","48.63","550,143.00","26,753,454.09","26,753,454.09","Consumer Staples","US9314271084","NASDAQ","United States","USD"
"DB1","DEUTSCHE BOERSE AG","Equity","0.06","176.04","151,226.00","26,621,988.36","26,621,988.36","Financials","DE0005810055","Xetra","Germany","EUR"
"ATD.B","ALIMENTATION COUCHE TARD SUB VOTIN","Equity","0.06","41.21","640,251.00","26,386,163.47","26,386,163.47","Consumer Staples","CA01626P4033","Toronto Stock Exchange","Canada","CAD"
"CMI","CUMMINS INC","Equity","0.06","238.69","110,228.00","26,310,321.32","26,310,321.32","Industrials","US2310211063","New York Stock Exchange Inc.","United States","USD"
"WCN","WASTE CONNECTIONS INC","Equity","0.06","128.86","204,025.00","26,290,661.50","26,290,661.50","Industrials","CA94106B1013","New York Stock Exchange Inc.","United States","USD"
"ABX","BARRICK GOLD CORP","Equity","0.06","19.84","1,315,809.00","26,110,266.37","26,110,266.37","Materials","CA0679011084","Toronto Stock Exchange","Canada","CAD"
"669","TECHTRONIC INDUSTRIES LTD","Equity","0.06","22.06","1,183,500.00","26,113,714.74","26,113,714.74","Industrials","HK0669013440","Hong Kong Exchanges And Clearing Ltd","Hong Kong","HKD"
"CTAS","CINTAS CORP","Equity","0.06","393.53","66,101.00","26,012,726.53","26,012,726.53","Industrials","US1729081059","NASDAQ","United States","USD"
"VNA","VONOVIA SE","Equity","0.06","68.58","379,183.00","26,002,773.02","26,002,773.02","Real Estate","DE000A1ML7J1","Xetra","Germany","EUR"
"6273","SMC (JAPAN) CORP","Equity","0.06","636.73","40,745.00","25,943,634.05","25,943,634.05","Industrials","JP3162600005","Tokyo Stock Exchange","Japan","JPY"
"AD","KONINKLIJKE AHOLD DELHAIZE NV","Equity","0.06","33.98","762,149.00","25,898,676.63","25,898,676.63","Consumer Staples","NL0011794037","Euronext Amsterdam","Netherlands","EUR"
"NOKIA","NOKIA","Equity","0.06","6.10","4,238,812.00","25,867,107.77","25,867,107.77","Information Technology","FI0009000681","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"XEL","XCEL ENERGY INC","Equity","0.06","69.03","374,438.00","25,847,455.14","25,847,455.14","Utilities","US98389B1008","NASDAQ","United States","USD"
"HEXA B","HEXAGON CLASS B","Equity","0.06","17.42","1,482,724.00","25,831,398.59","25,831,398.59","Information Technology","SE0015961909","Nasdaq Omx Nordic","Sweden","SEK"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Equity","0.06","110.39","232,153.00","25,627,411.46","25,627,411.46","Financials","GB00B0SWJX34","London Stock Exchange","United Kingdom","GBP"
"CLNX","CELLNEX TELECOM SA","Equity","0.06","70.06","364,678.00","25,550,238.52","25,550,238.52","Communication","ES0105066007","Bolsa De Madrid","Spain","EUR"
"8001","ITOCHU CORP","Equity","0.06","29.99","851,402.00","25,533,151.29","25,533,151.29","Industrials","JP3143600009","Tokyo Stock Exchange","Japan","JPY"
"WELL","WELLTOWER INC","Equity","0.06","85.76","297,522.00","25,515,486.72","25,515,486.72","Real Estate","US95040Q1040","New York Stock Exchange Inc.","United States","USD"
"HLT","HILTON WORLDWIDE HOLDINGS INC","Equity","0.06","125.72","202,558.00","25,465,591.76","25,465,591.76","Consumer Discretionary","US43300A2033","New York Stock Exchange Inc.","United States","USD"
"CSU","CONSTELLATION SOFTWARE INC","Equity","0.06","1,704.40","14,930.00","25,446,645.27","25,446,645.27","Information Technology","CA21037X1006","Toronto Stock Exchange","Canada","CAD"
"ITX","INDUSTRIA DE DISENO TEXTIL INDITEX","Equity","0.06","34.11","744,565.00","25,397,788.96","25,397,788.96","Consumer Discretionary","ES0148396007","Bolsa De Madrid","Spain","EUR"
"SGO","COMPAGNIE DE SAINT GOBAIN SA","Equity","0.06","73.15","346,920.00","25,378,516.30","25,378,516.30","Industrials","FR0000125007","Nyse Euronext - Euronext Paris","France","EUR"
"CAP","CAPGEMINI","Equity","0.06","225.36","112,467.00","25,345,664.34","25,345,664.34","Information Technology","FR0000125338","Nyse Euronext - Euronext Paris","France","EUR"
"STT","STATE STREET CORP","Equity","0.06","92.51","271,433.00","25,110,266.83","25,110,266.83","Financials","US8574771031","New York Stock Exchange Inc.","United States","USD"
"GMAB","GENMAB","Equity","0.06","478.88","52,439.00","25,112,008.82","25,112,008.82","Health Care","DK0010272202","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"AHT","ASHTEAD GROUP PLC","Equity","0.06","77.23","324,364.00","25,052,125.42","25,052,125.42","Industrials","GB0000536739","London Stock Exchange","United Kingdom","GBP"
"GIS","GENERAL MILLS INC","Equity","0.06","57.58","434,948.00","25,044,305.84","25,044,305.84","Consumer Staples","US3703341046","New York Stock Exchange Inc.","United States","USD"
"8411","MIZUHO FINANCIAL GROUP INC","Equity","0.06","14.06","1,780,094.00","25,031,939.19","25,031,939.19","Financials","JP3885780001","Tokyo Stock Exchange","Japan","JPY"
"DHI","D R HORTON INC","Equity","0.06","96.09","260,389.00","25,020,779.01","25,020,779.01","Consumer Discretionary","US23331A1097","New York Stock Exchange Inc.","United States","USD"
"9432","NIPPON TELEGRAPH AND TELEPHONE COR","Equity","0.06","26.91","929,200.00","25,008,631.09","25,008,631.09","Communication","JP3735400008","Tokyo Stock Exchange","Japan","JPY"
"PAYX","PAYCHEX INC","Equity","0.06","114.52","218,011.00","24,966,619.72","24,966,619.72","Information Technology","US7043261079","NASDAQ","United States","USD"
"ERIC B","ERICSSON B","Equity","0.06","11.94","2,088,953.00","24,939,176.00","24,939,176.00","Information Technology","SE0000108656","Nasdaq Omx Nordic","Sweden","SEK"
"8031","MITSUI LTD","Equity","0.06","22.16","1,117,392.00","24,756,376.14","24,756,376.14","Industrials","JP3893600001","Tokyo Stock Exchange","Japan","JPY"
"ASSA B","ASSA ABLOY B","Equity","0.06","32.49","759,675.00","24,679,573.17","24,679,573.17","Industrials","SE0007100581","Nasdaq Omx Nordic","Sweden","SEK"
"MTCH","MATCH GROUP INC","Equity","0.06","139.53","176,550.00","24,634,021.50","24,634,021.50","Communication","US57667L1070","NASDAQ","United States","USD"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Equity","0.06","64.24","382,588.00","24,577,453.12","24,577,453.12","Utilities","US7445731067","New York Stock Exchange Inc.","United States","USD"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.06","151.20","161,363.00","24,398,085.60","24,398,085.60","Materials","US4595061015","New York Stock Exchange Inc.","United States","USD"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Equity","0.06","179.09","135,444.00","24,256,665.96","24,256,665.96","Information Technology","US49338L1035","New York Stock Exchange Inc.","United States","USD"
"4901","FUJIFILM HOLDINGS CORP","Equity","0.06","80.18","302,261.00","24,234,783.97","24,234,783.97","Information Technology","JP3814000000","Tokyo Stock Exchange","Japan","JPY"
"AMP","AMERIPRISE FINANCE INC","Equity","0.06","272.78","88,801.00","24,223,136.78","24,223,136.78","Financials","US03076C1062","New York Stock Exchange Inc.","United States","USD"
"VOLV B","VOLVO CLASS B","Equity","0.05","22.92","1,052,918.00","24,131,293.07","24,131,293.07","Industrials","SE0000115446","Nasdaq Omx Nordic","Sweden","SEK"
"CTVA","CORTEVA INC","Equity","0.05","43.76","551,185.00","24,119,855.60","24,119,855.60","Materials","US22052L1044","New York Stock Exchange Inc.","United States","USD"
"OKTA","OKTA INC CLASS A","Equity","0.05","264.98","91,001.00","24,113,444.98","24,113,444.98","Information Technology","US6792951054","NASDAQ","United States","USD"
"ADM","ARCHER DANIELS MIDLAND","Equity","0.05","60.07","399,808.00","24,016,466.56","24,016,466.56","Consumer Staples","US0394831020","New York Stock Exchange Inc.","United States","USD"
"HOLN","HOLCIM LTD AG","Equity","0.05","57.40","417,339.00","23,954,680.01","23,954,680.01","Materials","CH0012214059","SIX Swiss Exchange","Switzerland","CHF"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.05","303.18","78,975.00","23,943,640.50","23,943,640.50","Health Care","US50540R4092","New York Stock Exchange Inc.","United States","USD"
"MCK","MCKESSON CORP","Equity","0.05","201.17","117,958.00","23,729,610.86","23,729,610.86","Health Care","US58155Q1031","New York Stock Exchange Inc.","United States","USD"
"MRK","MERCK","Equity","0.05","238.58","99,326.00","23,696,777.92","23,696,777.92","Health Care","DE0006599905","Xetra","Germany","EUR"
"LR","LEGRAND SA","Equity","0.05","114.87","205,619.00","23,620,495.78","23,620,495.78","Industrials","FR0010307819","Nyse Euronext - Euronext Paris","France","EUR"
"CSGP","COSTAR GROUP INC","Equity","0.05","83.99","281,178.00","23,616,140.22","23,616,140.22","Industrials","US22160N1090","NASDAQ","United States","USD"
"PSX","PHILLIPS","Equity","0.05","71.57","329,533.00","23,584,676.81","23,584,676.81","Energy","US7185461040","New York Stock Exchange Inc.","United States","USD"
"FLTR","FLUTTER ENTERTAINMENT PLC","Equity","0.05","197.40","119,102.00","23,510,409.65","23,510,409.65","Consumer Discretionary","IE00BWT6H894","Irish Stock Exchange - All Market","Ireland","EUR"
"NTR","NUTRIEN LTD","Equity","0.05","61.04","384,596.00","23,475,677.52","23,475,677.52","Materials","CA67077M1086","Toronto Stock Exchange","Canada","CAD"
"O39","OVERSEA-CHINESE BANKING LTD","Equity","0.05","8.66","2,698,551.00","23,367,901.83","23,367,901.83","Financials","SG1S04926220","Singapore Exchange","Singapore","SGD"
"GLW","CORNING INC","Equity","0.05","40.06","583,173.00","23,361,910.38","23,361,910.38","Information Technology","US2193501051","New York Stock Exchange Inc.","United States","USD"
"VIV","VIVENDI","Equity","0.05","38.89","600,674.00","23,359,913.93","23,359,913.93","Communication","FR0000127771","Nyse Euronext - Euronext Paris","France","EUR"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.05","150.28","154,619.00","23,236,143.32","23,236,143.32","Energy","US7237871071","New York Stock Exchange Inc.","United States","USD"
"AWK","AMERICAN WATER WORKS INC","Equity","0.05","182.58","127,007.00","23,188,938.06","23,188,938.06","Utilities","US0304201033","New York Stock Exchange Inc.","United States","USD"
"FAST","FASTENAL","Equity","0.05","56.13","412,534.00","23,155,533.42","23,155,533.42","Industrials","US3119001044","NASDAQ","United States","USD"
"WST","WEST PHARMACEUTICAL SERVICES INC","Equity","0.05","451.69","51,237.00","23,143,240.53","23,143,240.53","Health Care","US9553061055","New York Stock Exchange Inc.","United States","USD"
"WKL","WOLTERS KLUWER NV","Equity","0.05","116.17","199,147.00","23,135,495.27","23,135,495.27","Industrials","NL0000395903","Euronext Amsterdam","Netherlands","EUR"
"FERG","FERGUSON PLC","Equity","0.05","140.67","164,283.00","23,109,761.48","23,109,761.48","Industrials","JE00BJVNSS43","London Stock Exchange","United Kingdom","GBP"
"RIO","RIO TINTO LTD","Equity","0.05","82.56","279,843.00","23,104,014.94","23,104,014.94","Materials","AU000000RIO1","Asx - All Markets","Australia","AUD"
"TTD","TRADE DESK INC CLASS A","Equity","0.05","80.71","285,503.00","23,042,947.13","23,042,947.13","Information Technology","US88339J1051","NASDAQ","United States","USD"
"KKR","KKR AND CO INC","Equity","0.05","64.31","356,893.00","22,951,788.83","22,951,788.83","Financials","US48251W1045","New York Stock Exchange Inc.","United States","USD"
"ZBRA","ZEBRA TECHNOLOGIES CORP CLASS A","Equity","0.05","584.78","39,217.00","22,933,317.26","22,933,317.26","Information Technology","US9892071054","NASDAQ","United States","USD"
"AME","AMETEK INC","Equity","0.05","137.12","167,020.00","22,901,782.40","22,901,782.40","Industrials","US0311001004","New York Stock Exchange Inc.","United States","USD"
"IT","GARTNER INC","Equity","0.05","307.21","74,471.00","22,878,235.91","22,878,235.91","Information Technology","US3666511072","New York Stock Exchange Inc.","United States","USD"
"KMI","KINDER MORGAN INC","Equity","0.05","16.34","1,398,533.00","22,852,029.22","22,852,029.22","Energy","US49456B1017","New York Stock Exchange Inc.","United States","USD"
"4503","ASTELLAS PHARMA INC","Equity","0.05","16.80","1,357,000.00","22,798,785.31","22,798,785.31","Health Care","JP3942400007","Tokyo Stock Exchange","Japan","JPY"
"SIVB","SVB FINANCIAL GROUP","Equity","0.05","559.70","40,706.00","22,783,148.20","22,783,148.20","Financials","US78486Q1013","NASDAQ","United States","USD"
"6702","FUJITSU LTD","Equity","0.05","181.79","124,959.00","22,716,717.35","22,716,717.35","Information Technology","JP3818000006","Tokyo Stock Exchange","Japan","JPY"
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.05","228.22","99,426.00","22,691,001.72","22,691,001.72","Real Estate","US0534841012","New York Stock Exchange Inc.","United States","USD"
"6902","DENSO CORP","Equity","0.05","69.08","327,943.00","22,653,594.07","22,653,594.07","Consumer Discretionary","JP3551500006","Tokyo Stock Exchange","Japan","JPY"
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.05","84.36","268,349.00","22,637,921.64","22,637,921.64","Real Estate","US29476L1070","New York Stock Exchange Inc.","United States","USD"
"EFX","EQUIFAX INC","Equity","0.05","267.20","84,657.00","22,620,350.40","22,620,350.40","Industrials","US2944291051","New York Stock Exchange Inc.","United States","USD"
"FRC","FIRST REPUBLIC BANK","Equity","0.05","198.19","113,905.00","22,574,831.95","22,574,831.95","Financials","US33616C1009","New York Stock Exchange Inc.","United States","USD"
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.05","186.10","121,061.00","22,529,452.10","22,529,452.10","Information Technology","US83088M1027","NASDAQ","United States","USD"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.05","96.02","233,509.00","22,421,534.18","22,421,534.18","Real Estate","US12504L1098","New York Stock Exchange Inc.","United States","USD"
"WEC","WEC ENERGY GROUP INC","Equity","0.05","95.02","235,158.00","22,344,713.16","22,344,713.16","Utilities","US92939U1060","New York Stock Exchange Inc.","United States","USD"
"VRSK","VERISK ANALYTICS INC","Equity","0.05","200.78","111,071.00","22,300,835.38","22,300,835.38","Industrials","US92345Y1064","NASDAQ","United States","USD"
"LEN","LENNAR A CORP","Equity","0.05","107.86","206,743.00","22,299,299.98","22,299,299.98","Consumer Discretionary","US5260571048","New York Stock Exchange Inc.","United States","USD"
"BMW","BMW AG","Equity","0.05","93.27","238,240.00","22,220,905.67","22,220,905.67","Consumer Discretionary","DE0005190003","Xetra","Germany","EUR"
"SLF","SUN LIFE FINANCIAL INC","Equity","0.05","51.78","428,175.00","22,169,795.05","22,169,795.05","Financials","CA8667961053","Toronto Stock Exchange","Canada","CAD"
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.05","190.10","116,411.00","22,129,731.10","22,129,731.10","Communication","US5303073051","NASDAQ","United States","USD"
"ANSS","ANSYS INC","Equity","0.05","365.80","60,453.00","22,113,707.40","22,113,707.40","Information Technology","US03662Q1058","NASDAQ","United States","USD"
"HUBS","HUBSPOT INC","Equity","0.05","701.58","31,411.00","22,037,329.38","22,037,329.38","Information Technology","US4435731009","New York Stock Exchange Inc.","United States","USD"
"CPRT","COPART INC","Equity","0.05","144.45","151,420.00","21,872,619.00","21,872,619.00","Industrials","US2172041061","NASDAQ","United States","USD"
"SAND","SANDVIK","Equity","0.05","26.29","829,292.00","21,801,310.16","21,801,310.16","Industrials","SE0000667891","Nasdaq Omx Nordic","Sweden","SEK"
"BLL","BALL CORP","Equity","0.05","95.69","227,522.00","21,771,580.18","21,771,580.18","Materials","US0584981064","New York Stock Exchange Inc.","United States","USD"
"ES","EVERSOURCE ENERGY","Equity","0.05","91.05","238,389.00","21,705,318.45","21,705,318.45","Utilities","US30040W1080","New York Stock Exchange Inc.","United States","USD"
"SU","SUNCOR ENERGY INC","Equity","0.05","18.99","1,135,900.00","21,565,722.68","21,565,722.68","Energy","CA8672241079","Toronto Stock Exchange","Canada","CAD"
"8766","TOKIO MARINE HOLDINGS INC","Equity","0.05","48.90","440,272.00","21,527,880.70","21,527,880.70","Financials","JP3910660004","Tokyo Stock Exchange","Japan","JPY"
"ENI","ENI","Equity","0.05","12.31","1,739,846.00","21,415,271.69","21,415,271.69","Energy","IT0003132476","Borsa Italiana","Italy","EUR"
"EOAN","E.ON N","Equity","0.05","13.11","1,630,654.00","21,383,432.19","21,383,432.19","Utilities","DE000ENAG999","Xetra","Germany","EUR"
"2413","M3 INC","Equity","0.05","65.67","324,500.00","21,308,552.84","21,308,552.84","Health Care","JP3435750009","Tokyo Stock Exchange","Japan","JPY"
"BBY","BEST BUY INC","Equity","0.05","118.35","179,678.00","21,264,891.30","21,264,891.30","Consumer Discretionary","US0865161014","New York Stock Exchange Inc.","United States","USD"
"PINS","PINTEREST INC CLASS A","Equity","0.05","56.49","376,382.00","21,261,819.18","21,261,819.18","Communication","US72352L1061","New York Stock Exchange Inc.","United States","USD"
"WMB","WILLIAMS INC","Equity","0.05","24.56","865,593.00","21,258,964.08","21,258,964.08","Energy","US9694571004","New York Stock Exchange Inc.","United States","USD"
"GMG","GOODMAN GROUP UNITS","Equity","0.05","16.50","1,282,240.00","21,159,407.16","21,159,407.16","Real Estate","AU000000GMG2","Asx - All Markets","Australia","AUD"
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.05","205.92","102,719.00","21,151,896.48","21,151,896.48","Real Estate","US0152711091","New York Stock Exchange Inc.","United States","USD"
"SREN","SWISS RE AG","Equity","0.05","92.64","226,473.00","20,979,748.68","20,979,748.68","Financials","CH0126881561","SIX Swiss Exchange","Switzerland","CHF"
"GEBN","GEBERIT AG","Equity","0.05","840.57","24,956.00","20,977,151.90","20,977,151.90","Industrials","CH0030170408","SIX Swiss Exchange","Switzerland","CHF"
"SYF","SYNCHRONY FINANCIAL","Equity","0.05","49.35","425,004.00","20,973,947.40","20,973,947.40","Financials","US87165B1035","New York Stock Exchange Inc.","United States","USD"
"ORSTED","ORSTED","Equity","0.05","158.91","131,614.00","20,915,144.08","20,915,144.08","Utilities","DK0060094928","Omx Nordic Exchange Copenhagen A/S","Denmark","DKK"
"4911","SHISEIDO LTD","Equity","0.05","65.83","316,145.00","20,811,692.60","20,811,692.60","Consumer Staples","JP3351600006","Tokyo Stock Exchange","Japan","JPY"
"TSCO","TESCO PLC","Equity","0.05","3.51","5,932,188.00","20,798,837.67","20,798,837.67","Consumer Staples","GB00BLGZ9862","London Stock Exchange","United Kingdom","GBP"
"WLTW","WILLIS TOWERS WATSON PLC","Equity","0.05","215.72","96,047.00","20,719,258.84","20,719,258.84","Financials","IE00BDB6Q211","NASDAQ","United States","USD"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.05","149.78","138,314.00","20,716,670.92","20,716,670.92","Health Care","US98956P1021","New York Stock Exchange Inc.","United States","USD"
"4452","KAO CORP","Equity","0.05","60.40","342,524.00","20,687,633.06","20,687,633.06","Consumer Staples","JP3205800000","Tokyo Stock Exchange","Japan","JPY"
"KSU","KANSAS CITY SOUTHERN","Equity","0.05","293.56","70,336.00","20,647,836.16","20,647,836.16","Industrials","US4851703029","New York Stock Exchange Inc.","United States","USD"
"PCAR","PACCAR INC","Equity","0.05","82.05","251,389.00","20,626,467.45","20,626,467.45","Industrials","US6937181088","NASDAQ","United States","USD"
"VLO","VALERO ENERGY CORP","Equity","0.05","66.02","311,770.00","20,583,055.40","20,583,055.40","Energy","US91913Y1001","New York Stock Exchange Inc.","United States","USD"
"RSG","REPUBLIC SERVICES INC","Equity","0.05","124.27","165,622.00","20,581,845.94","20,581,845.94","Industrials","US7607591002","New York Stock Exchange Inc.","United States","USD"
"SWK","STANLEY BLACK & DECKER INC","Equity","0.05","194.88","105,279.00","20,516,771.52","20,516,771.52","Industrials","US8545021011","New York Stock Exchange Inc.","United States","USD"
"RACE","FERRARI NV","Equity","0.05","217.28","94,021.00","20,428,749.84","20,428,749.84","Consumer Discretionary","NL0011585146","Borsa Italiana","Italy","EUR"
"TDG","TRANSDIGM GROUP INC","Equity","0.05","603.57","33,756.00","20,374,108.92","20,374,108.92","Industrials","US8936411003","New York Stock Exchange Inc.","United States","USD"
"ML","MICHELIN","Equity","0.05","164.48","123,690.00","20,344,291.24","20,344,291.24","Consumer Discretionary","FR0000121261","Nyse Euronext - Euronext Paris","France","EUR"
"STM","STMICROELECTRONICS NV","Equity","0.05","44.72","453,700.00","20,288,651.88","20,288,651.88","Information Technology","NL0000226223","Nyse Euronext - Euronext Paris","France","EUR"
"EVO","EVOLUTION","Equity","0.05","163.31","124,002.00","20,250,217.80","20,250,217.80","Consumer Discretionary","SE0012673267","Nasdaq Omx Nordic","Sweden","SEK"
"CSGN","CREDIT SUISSE GROUP AG","Equity","0.05","10.61","1,895,747.00","20,119,482.93","20,119,482.93","Financials","CH0012138530","SIX Swiss Exchange","Switzerland","CHF"
"FITB","FIFTH THIRD BANCORP","Equity","0.05","38.63","518,846.00","20,043,020.98","20,043,020.98","Financials","US3167731005","NASDAQ","United States","USD"
"AMS","AMADEUS IT GROUP SA","Equity","0.05","60.06","333,231.00","20,012,824.18","20,012,824.18","Information Technology","ES0109067019","Bolsa De Madrid","Spain","EUR"
"NESTE","NESTE","Equity","0.05","59.99","332,747.00","19,960,200.14","19,960,200.14","Energy","FI0009013296","Nasdaq Omx Helsinki Ltd.","Finland","EUR"
"CDW","CDW CORP","Equity","0.05","200.74","98,922.00","19,857,602.28","19,857,602.28","Information Technology","US12514G1085","NASDAQ","United States","USD"
"6503","MITSUBISHI ELECTRIC CORP","Equity","0.05","13.66","1,452,511.00","19,837,305.05","19,837,305.05","Industrials","JP3902400005","Tokyo Stock Exchange","Japan","JPY"
"DOV","DOVER CORP","Equity","0.05","175.79","112,754.00","19,821,025.66","19,821,025.66","Industrials","US2600031080","New York Stock Exchange Inc.","United States","USD"
"NET","CLOUDFLARE INC CLASS A","Equity","0.04","123.42","160,096.00","19,759,048.32","19,759,048.32","Information Technology","US18915M1071","New York Stock Exchange Inc.","United States","USD"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Equity","0.04","10.26","1,924,939.00","19,753,129.21","19,753,129.21","Industrials","AU000000TCL6","Asx - All Markets","Australia","AUD"
"NA","NATIONAL BANK OF CANADA","Equity","0.04","79.20","248,952.00","19,716,816.46","19,716,816.46","Financials","CA6330671034","Toronto Stock Exchange","Canada","CAD"
